NoSN;VendorID;DeviceTypeID;Gmt;DateArrival;SourceID;WarehouseID;ServerID;IsMobile;Remark;Status
3,52593E+14;VEN0000012;RDT0000037;7;08/08/2025;SRC0000002;WAR0000002;SVR0000001;0;;MW
3,52593E+14;VEN0000012;RDT0000037;7;08/08/2025;SRC0000002;WAR0000002;SVR0000001;0;;MW
